c ,From,To,Modes,length,time,Type,Lanes,VDF,Data1,Data2,Data3
,193963,195420,apb,0.437953,0.409949,105,4.0,15,64.100,8800.0,0.0000
,193964,193956,apb,0.007855,0.011012,107,2.0,23,42.800,4400.0,0.0000
,193964,193965,apb,0.040489,0.056760,107,2.0,23,42.800,4400.0,0.0000
,193965,193958,apb,0.022593,0.031672,107,2.0,23,42.800,4400.0,0.0000
,193965,193964,apb,0.040489,0.056760,107,2.0,23,42.800,4400.0,0.0000
,193976,193697,apb,0.060018,0.151306,107,1.0,29,23.800,2200.0,0.0000
,193976,230377,apb,0.066786,0.168368,107,1.0,29,23.800,2200.0,0.0000
,194005,194120,apb,0.014555,0.013624,105,4.0,15,64.100,8800.0,0.0000
,194005,194121,apb,0.035796,0.037288,105,4.0,15,57.600,8800.0,0.0000
,194005,195095,apb,0.037343,0.032998,107,4.0,11,67.900,8800.0,0.0000
,194009,193696,apb,0.050881,0.128271,107,1.0,29,23.800,2200.0,0.0000
,194009,194145,apb,0.460315,1.141277,107,1.0,25,24.200,2200.0,0.0000
,194009,194306,apb,0.927254,1.965910,107,1.0,21,28.300,2200.0,0.0000
,194010,194011,apb,0.143662,0.094931,102,4.0,7,90.800,8800.0,0.0000
,194011,230102,apb,2.477658,1.637219,102,4.0,7,90.800,8800.0,0.0000
,194111,195017,apb,0.383802,0.511736,108,3.0,33,45.000,6600.0,0.0000
,194111,195463,apb,0.865473,1.143798,107,3.0,23,45.400,6600.0,0.0000
,194113,194114,apb,0.074369,0.065716,107,4.0,11,67.900,8800.0,0.0000
,194113,194124,apb,0.123048,0.191763,107,3.0,27,38.500,6600.0,0.0000
,194113,195097,apb,0.029308,0.028317,107,4.0,11,62.100,8800.0,0.0000
,194114,194113,apb,0.074369,0.071854,107,4.0,11,62.100,8800.0,0.0000
,194114,195098,apb,0.096280,0.085078,107,4.0,11,67.900,8800.0,0.0000
,194114,195374,apb,0.040896,0.103099,107,1.0,29,23.800,2200.0,0.0000
,194115,194124,apb,0.076315,0.118932,107,3.0,27,38.500,6600.0,0.0000
,194115,208587,apb,0.140666,0.219220,107,3.0,27,38.500,6600.0,0.0000
,194117,194122,apb,0.028934,0.027956,107,4.0,11,62.100,8800.0,0.0000
,194117,195096,apb,0.030134,0.026628,107,4.0,11,67.900,8800.0,0.0000
,194117,195370,apb,0.064000,0.102674,107,3.0,31,37.400,6600.0,0.0000
,194119,195095,apb,0.010274,0.009927,107,4.0,11,62.100,8800.0,0.0000
,194119,195428,apb,0.150024,0.132569,107,4.0,11,67.900,8800.0,0.0000
,194120,194005,apb,0.014555,0.015162,105,4.0,15,57.600,8800.0,0.0000
,194120,195243,apb,0.023777,0.022257,105,4.0,15,64.100,8800.0,0.0000
,194121,194005,apb,0.035796,0.033931,105,4.0,15,63.300,8800.0,0.0000
,194121,194146,apb,0.011239,0.011707,105,4.0,15,57.600,8800.0,0.0000
,194122,194117,apb,0.028934,0.025568,107,4.0,11,67.900,8800.0,0.0000
,194122,195428,apb,0.027694,0.026757,107,4.0,11,62.100,8800.0,0.0000
,194124,194113,apb,0.123048,0.191763,107,3.0,27,38.500,6600.0,0.0000
,194124,194115,apb,0.076315,0.118932,107,3.0,27,38.500,6600.0,0.0000
,194125,207287,apb,1.637846,1.142683,102,5.0,7,86.000,11000,0.0000
,194126,194133,apb,0.441300,0.588400,108,2.0,33,45.000,4400.0,0.0000
,194126,194309,apb,0.811520,0.525823,102,5.0,7,92.600,11000,0.0000
,194127,194128,apb,0.443463,0.591284,108,1.0,33,45.000,2200.0,0.0000
,194127,194130,apb,0.115951,0.154601,108,2.0,33,45.000,4400.0,0.0000
,194128,193651,apb,0.886418,0.574353,102,5.0,7,92.600,11000,0.0000
,194129,194127,apb,0.016976,0.022635,108,3.0,33,45.000,6600.0,0.0000
,194130,194131,apb,0.618486,0.824648,108,2.0,33,45.000,4400.0,0.0000
,194131,194125,apb,0.210109,0.280145,108,2.0,33,45.000,4400.0,0.0000
,194132,194111,apb,0.451251,0.601668,108,2.0,33,45.000,4400.0,0.0000
,194133,194132,apb,0.105057,0.140076,108,2.0,33,45.000,4400.0,0.0000
,194144,193702,apb,0.215362,0.542929,107,1.0,29,23.800,2200.0,0.0000
,194144,194510,apb,0.385078,0.954739,107,1.0,25,24.200,2200.0,0.0000
,194145,193840,apb,0.009265,0.023259,107,1.0,29,23.900,2200.0,0.0000
,194145,194009,apb,0.460315,1.141277,107,1.0,25,24.200,2200.0,0.0000
,194146,194121,apb,0.011239,0.010653,105,4.0,15,63.300,8800.0,0.0000
,194146,230309,apb,0.201838,0.210249,105,4.0,15,57.600,8800.0,0.0000
,194306,194009,apb,0.927254,1.965910,107,1.0,21,28.300,2200.0,0.0000
,194306,194307,apb,0.102794,0.259145,107,1.0,29,23.800,2200.0,0.0000
,194307,194306,apb,0.102794,0.259145,107,1.0,29,23.800,2200.0,0.0000
,194307,194309,apb,0.041885,0.105592,107,1.0,29,23.800,2200.0,0.0000
,194309,194128,apb,0.211497,0.137039,102,5.0,7,92.600,11000,0.0000
,194309,194307,apb,0.041885,0.105592,107,1.0,29,23.800,2200.0,0.0000
,194353,193958,apb,0.035556,0.033282,105,4.0,15,64.100,8800.0,0.0000
,194353,195303,apb,0.015237,0.015872,105,4.0,15,57.600,8800.0,0.0000
,194429,194481,apb,0.118415,0.298525,107,1.0,29,23.800,2200.0,0.0000
,194429,194973,apb,0.211413,0.532974,107,1.0,29,23.800,2200.0,0.0000
,194430,193950,apb,0.250553,0.621206,107,1.0,25,24.200,2200.0,0.0000
,194430,195179,apb,0.114255,0.283277,107,1.0,25,24.200,2200.0,0.0000
,194431,195117,apb,0.151163,0.381083,107,1.0,29,23.800,2200.0,0.0000
,194431,195176,apb,0.081818,0.206264,107,1.0,29,23.800,2200.0,0.0000
,194480,194481,apb,0.038921,0.098120,107,1.0,29,23.800,2200.0,0.0000
,194480,194539,apb,0.010000,0.025210,107,1.0,29,23.800,2200.0,0.0000
,194481,194429,apb,0.118415,0.298525,107,1.0,29,23.800,2200.0,0.0000
,194481,194480,apb,0.038921,0.098120,107,1.0,29,23.800,2200.0,0.0000
,194510,193696,apb,0.031962,0.080576,107,1.0,29,23.800,2200.0,0.0000
,194510,194144,apb,0.385078,0.954739,107,1.0,25,24.200,2200.0,0.0000
,194510,194613,apb,0.011134,0.028069,107,1.0,29,23.800,2200.0,0.0000
,194511,193696,apb,0.015203,0.038167,107,1.0,29,23.900,2200.0,0.0000
,194511,194613,apb,0.017475,0.044055,107,1.0,29,23.800,2200.0,0.0000
,194539,194480,apb,0.010000,0.025210,107,1.0,29,23.800,2200.0,0.0000
,194539,194966,apb,0.687362,1.457305,107,1.0,21,28.300,2200.0,0.0000
,194547,193649,apb,0.185721,0.118925,102,5.0,7,93.700,11000,0.0000
,194547,194548,apb,0.435758,0.581011,108,1.0,33,45.000,2200.0,0.0000
,194549,194550,apb,0.327091,0.436121,108,1.0,33,45.000,2200.0,0.0000
,194549,194559,apb,0.281830,0.307451,105,3.0,15,55.000,6600.0,0.0000
,194550,194552,apb,0.178577,0.238103,108,2.0,33,45.000,4400.0,0.0000
,194551,193652,apb,0.220673,0.294231,108,1.0,33,45.000,2200.0,0.0000
,194551,194560,apb,0.109716,0.146288,108,1.0,33,45.000,2200.0,0.0000
,194552,194125,apb,1.752076,1.222379,102,5.0,7,86.000,11000,0.0000
,194553,194567,apb,0.020131,0.021961,105,3.0,15,55.000,6600.0,0.0000
,194553,551956,apb,0.243062,0.324083,108,1.0,33,45.000,2200.0,0.0000
,194554,194555,apb,0.186369,0.123151,102,4.0,7,90.800,8800.0,0.0000
,194554,551956,apb,0.027965,0.037287,108,1.0,33,45.000,2200.0,0.0000
,194555,193652,apb,0.179586,0.118669,102,4.0,7,90.800,8800.0,0.0000
,194556,194548,apb,0.293129,0.274380,105,3.0,15,64.100,6600.0,0.0000
,194556,551957,apb,0.281692,0.375589,108,1.0,33,45.000,2200.0,0.0000
,194559,194553,apb,0.103822,0.113260,105,3.0,15,55.000,6600.0,0.0000
,194560,194550,apb,0.527662,0.703549,108,2.0,33,45.000,4400.0,0.0000
,194566,193647,apb,0.033164,0.031435,105,3.0,15,63.300,6600.0,0.0000
,194567,193945,apb,0.196815,0.214707,105,3.0,15,55.000,6600.0,0.0000
,194584,194585,apb,0.054858,0.138297,107,1.0,29,23.800,2200.0,0.0000
,194584,195277,apb,0.091638,0.231020,107,1.0,29,23.800,2200.0,0.0000
,194585,193702,apb,0.038841,0.097509,107,1.0,29,23.900,2200.0,0.0000
,194585,193793,apb,0.072477,0.120128,107,1.0,13,36.200,2200.0,0.0000
,194585,194584,apb,0.054858,0.138297,107,1.0,29,23.800,2200.0,0.0000
,194613,194510,apb,0.011134,0.028069,107,1.0,29,23.800,2200.0,0.0000
,194613,194511,apb,0.017475,0.044055,107,1.0,29,23.800,2200.0,0.0000
,194614,194974,apb,0.296107,0.734150,107,1.0,25,24.200,2200.0,0.0000
,194614,194979,apb,0.743735,1.576823,107,1.0,21,28.300,2200.0,0.0000
,194966,194539,apb,0.687362,1.457305,107,1.0,21,28.300,2200.0,0.0000
,194966,230883,apb,0.210521,0.530725,107,1.0,29,23.800,2200.0,0.0000
,194971,195048,apb,0.960400,0.588601,102,3.0,7,97.900,6600.0,0.0000
,194971,195210,apb,0.337844,0.450459,108,1.0,33,45.000,2200.0,0.0000
,194972,195007,apb,2.359294,1.509145,102,3.0,7,93.800,6600.0,0.0000
,194973,194429,apb,0.211413,0.532974,107,1.0,29,23.800,2200.0,0.0000
,194973,195117,apb,0.264633,0.656115,107,1.0,25,24.200,2200.0,0.0000
,194974,194614,apb,0.296107,0.734150,107,1.0,25,24.200,2200.0,0.0000
,194974,208963,apb,0.207741,0.521526,107,1.0,29,23.900,2200.0,0.0000
,194978,194979,apb,0.113409,0.285905,107,1.0,29,23.800,2200.0,0.0000
,194979,193841,apb,0.082952,0.208248,107,1.0,29,23.900,2200.0,0.0000
,194979,194614,apb,0.743735,1.576823,107,1.0,21,28.300,2200.0,0.0000
,194979,194978,apb,0.113409,0.285905,107,1.0,29,23.800,2200.0,0.0000
,195000,193840,apb,0.038376,0.096746,107,1.0,29,23.800,2200.0,0.0000
,195000,193841,apb,0.008195,0.020660,107,1.0,29,23.800,2200.0,0.0000
,195004,193957,apb,0.085541,0.212085,107,1.0,25,24.200,2200.0,0.0000
,195004,195131,apb,0.079901,0.198102,107,1.0,25,24.200,2200.0,0.0000
,195007,209254,apb,0.570699,0.365053,102,3.0,7,93.800,6600.0,0.0000
,195007,209259,apb,0.287405,0.383207,108,1.0,33,45.000,2200.0,0.0000
,195008,194971,apb,2.365243,1.426278,102,3.0,7,99.500,6600.0,0.0000
,195017,194129,apb,0.098722,0.131629,108,3.0,33,45.000,6600.0,0.0000
,195047,194972,apb,0.960828,0.614602,102,3.0,7,93.800,6600.0,0.0000
,195047,195112,apb,0.476833,0.635777,108,1.0,33,45.000,2200.0,0.0000
,195048,195447,apb,0.334420,0.204956,102,3.0,7,97.900,6600.0,0.0000
,195049,195212,apb,0.043183,0.040422,105,4.0,15,64.100,8800.0,0.0000
,195049,552029,apb,0.229205,0.238758,105,4.0,15,57.600,8800.0,0.0000
,195050,193793,apb,0.125362,0.118827,105,4.0,15,63.300,8800.0,0.0000
,195050,195209,apb,0.045950,0.061267,108,1.0,33,45.000,2200.0,0.0000
,195050,195211,apb,0.033040,0.033095,105,4.0,15,59.900,8800.0,0.0000
,195095,194005,apb,0.037343,0.036080,107,4.0,11,62.100,8800.0,0.0000
,195095,194119,apb,0.010274,0.009079,107,4.0,11,67.900,8800.0,0.0000
,195096,194117,apb,0.030134,0.029115,107,4.0,11,62.100,8800.0,0.0000
,195096,195431,apb,0.014157,0.012510,107,4.0,11,67.900,8800.0,0.0000
,195097,194113,apb,0.029308,0.025898,107,4.0,11,67.900,8800.0,0.0000
,195097,195372,apb,0.117609,0.113632,107,4.0,11,62.100,8800.0,0.0000
,195098,194114,apb,0.096280,0.093024,107,4.0,11,62.100,8800.0,0.0000
,195098,208578,apb,0.055181,0.048761,107,4.0,11,67.900,8800.0,0.0000
,195111,195174,apb,0.038725,0.097626,107,1.0,29,23.800,2200.0,0.0000
,195111,195176,apb,0.039467,0.099497,107,1.0,29,23.800,2200.0,0.0000
,195112,193645,apb,0.022851,0.057608,107,1.0,29,23.800,2200.0,0.0000
,195112,195171,apb,0.020392,0.031828,107,2.0,27,38.500,4400.0,0.0000
,195113,195114,apb,0.057424,0.142374,107,1.0,25,24.200,2200.0,0.0000
,195113,195173,apb,0.006772,0.016790,107,1.0,25,24.200,2200.0,0.0000
,195114,195113,apb,0.057424,0.142374,107,1.0,25,24.200,2200.0,0.0000
,195114,195277,apb,0.034825,0.086343,107,1.0,25,24.200,2200.0,0.0000
,195117,194431,apb,0.151163,0.381083,107,1.0,29,23.800,2200.0,0.0000
,195117,194973,apb,0.264633,0.656115,107,1.0,25,24.200,2200.0,0.0000
,195119,551947,apb,0.141371,0.227406,107,2.0,31,37.300,4400.0,0.0000
,195119,551949,apb,0.273038,0.676954,107,1.0,25,24.200,2200.0,0.0000
,195120,551947,apb,0.120615,0.194019,107,2.0,31,37.300,4400.0,0.0000
,195120,551953,apb,0.148168,0.238340,107,3.0,31,37.300,6600.0,0.0000
,195121,195474,apb,0.068795,0.110366,107,3.0,31,37.400,6600.0,0.0000
,195121,195475,apb,0.107795,0.270615,107,1.0,29,23.900,2200.0,0.0000
,195124,195125,apb,0.146863,0.236241,107,2.0,31,37.300,4400.0,0.0000
,195124,195375,apb,0.232189,0.373494,107,2.0,31,37.300,4400.0,0.0000
,195125,195124,apb,0.146863,0.236241,107,2.0,31,37.300,4400.0,0.0000
,195125,195433,apb,0.179283,0.288391,107,4.0,31,37.300,8800.0,0.0000
,195125,195474,apb,0.157222,0.252228,107,2.0,31,37.400,4400.0,0.0000
,195126,195376,apb,0.026516,0.035043,107,4.0,23,45.400,8800.0,0.0000
,195126,195433,apb,0.042325,0.067901,107,4.0,31,37.400,8800.0,0.0000
,195126,195576,apb,0.023520,0.032441,107,3.0,23,43.500,6600.0,0.0000
,195126,551952,apb,0.044091,0.045690,107,3.0,15,57.900,6600.0,0.0000
,195131,193697,apb,0.130292,0.323038,107,1.0,25,24.200,2200.0,0.0000
,195131,195004,apb,0.079901,0.198102,107,1.0,25,24.200,2200.0,0.0000
,195145,193793,apb,0.045657,0.045733,105,4.0,15,59.900,8800.0,0.0000
,195145,195146,apb,0.041643,0.039472,105,4.0,15,63.300,8800.0,0.0000
,195146,193715,apb,0.081909,0.077639,105,4.0,15,63.300,8800.0,0.0000
,195146,195145,apb,0.041643,0.041713,105,4.0,15,59.900,8800.0,0.0000
,195170,195048,apb,0.474818,0.633091,108,1.0,33,45.000,2200.0,0.0000
,195170,195112,apb,0.054986,0.088418,107,2.0,31,37.400,4400.0,0.0000
,195171,195172,apb,0.007641,0.011926,107,2.0,27,38.500,4400.0,0.0000
,195172,195173,apb,0.042311,0.104903,107,1.0,25,24.200,2200.0,0.0000
,195172,195178,apb,0.012436,0.019410,107,2.0,27,38.500,4400.0,0.0000
,195173,195113,apb,0.006772,0.016790,107,1.0,25,24.200,2200.0,0.0000
,195173,195172,apb,0.042311,0.104903,107,1.0,25,24.200,2200.0,0.0000
,195174,193645,apb,0.054792,0.137553,107,1.0,29,23.900,2200.0,0.0000
,195174,195111,apb,0.038725,0.097626,107,1.0,29,23.800,2200.0,0.0000
,195174,195173,apb,0.060697,0.150488,107,1.0,25,24.200,2200.0,0.0000
,195176,194431,apb,0.081818,0.206264,107,1.0,29,23.800,2200.0,0.0000
,195176,195111,apb,0.039467,0.099497,107,1.0,29,23.800,2200.0,0.0000
,195177,195208,apb,0.018662,0.026821,107,3.0,31,41.800,6600.0,0.0000
,195177,195209,apb,0.037247,0.049663,108,1.0,33,45.000,2200.0,0.0000
,195177,195211,apb,0.021769,0.020634,105,4.0,15,63.300,8800.0,0.0000
,195177,195212,apb,0.024290,0.023736,105,4.0,15,61.400,8800.0,0.0000
,195178,195180,apb,0.023177,0.032363,107,2.0,27,43.100,4400.0,0.0000
,195178,195207,apb,0.019921,0.032065,107,3.0,31,37.300,6600.0,0.0000
,195179,194430,apb,0.114255,0.283277,107,1.0,25,24.200,2200.0,0.0000
,195179,195170,apb,0.020705,0.033667,107,1.0,9,36.900,2200.0,0.0000
,195180,195170,apb,0.022721,0.021254,107,2.0,11,64.200,4400.0,0.0000
,195180,195179,apb,0.019428,0.048169,107,1.0,25,24.200,2200.0,0.0000
,195207,195178,apb,0.019921,0.028630,107,3.0,31,41.800,6600.0,0.0000
,195207,195208,apb,0.049005,0.078668,107,3.0,31,37.400,6600.0,0.0000
,195208,195177,apb,0.018662,0.029958,107,3.0,31,37.400,6600.0,0.0000
,195208,195207,apb,0.049005,0.070430,107,3.0,31,41.800,6600.0,0.0000
,195209,194972,apb,0.349460,0.465947,108,1.0,33,45.000,2200.0,0.0000
,195210,195049,apb,0.042386,0.056515,108,1.0,33,45.000,2200.0,0.0000
,195210,195177,apb,0.044822,0.059763,108,1.0,33,45.000,2200.0,0.0000
,195211,195050,apb,0.033040,0.031318,105,4.0,15,63.300,8800.0,0.0000
,195211,195177,apb,0.021769,0.021805,105,4.0,15,59.900,8800.0,0.0000
,195212,195049,apb,0.043183,0.042199,105,4.0,15,61.400,8800.0,0.0000
,195212,195177,apb,0.024290,0.022737,105,4.0,15,64.100,8800.0,0.0000
,195220,195219,apb,0.022917,0.030556,108,1.0,33,45.000,2200.0,0.0000
,195243,193955,apb,0.223923,0.209604,105,4.0,15,64.100,8800.0,0.0000
,195243,194120,apb,0.023777,0.024768,105,4.0,15,57.600,8800.0,0.0000
,195244,195304,apb,0.028885,0.046464,107,3.0,31,37.300,6600.0,0.0000
,195244,551953,apb,0.162421,0.260568,107,3.0,31,37.400,6600.0,0.0000
,195277,194584,apb,0.091638,0.231020,107,1.0,29,23.800,2200.0,0.0000
,195277,195114,apb,0.034825,0.086343,107,1.0,25,24.200,2200.0,0.0000
,195303,193953,apb,0.143665,0.149653,105,4.0,15,57.600,8800.0,0.0000
,195303,194353,apb,0.015237,0.014263,105,4.0,15,64.100,8800.0,0.0000
,195304,193958,apb,0.028314,0.045424,107,3.0,31,37.400,6600.0,0.0000
,195304,195244,apb,0.028885,0.046464,107,3.0,31,37.300,6600.0,0.0000
,195304,195303,apb,0.054932,0.091048,107,1.0,13,36.200,2200.0,0.0000
,195305,193958,apb,0.034542,0.035982,105,4.0,15,57.600,8800.0,0.0000
,195305,193963,apb,0.006492,0.006077,105,4.0,15,64.100,8800.0,0.0000
,195305,195304,apb,0.046730,0.117314,107,1.0,29,23.900,2200.0,0.0000
,195370,194117,apb,0.064000,0.102674,107,3.0,31,37.400,6600.0,0.0000
,195370,195423,apb,0.073142,0.117655,107,2.0,31,37.300,4400.0,0.0000
,195371,195373,apb,0.110022,0.276206,107,1.0,29,23.900,2200.0,0.0000
,195372,195097,apb,0.117609,0.103926,107,4.0,11,67.900,8800.0,0.0000
,195372,195373,apb,0.090272,0.226624,107,1.0,29,23.900,2200.0,0.0000
,195372,195421,apb,0.027637,0.026702,107,4.0,11,62.100,8800.0,0.0000
,195373,195375,apb,0.063985,0.161307,107,1.0,29,23.800,2200.0,0.0000
,195374,209519,apb,0.136115,0.190815,107,2.0,23,42.800,4400.0,0.0000
,195375,195124,apb,0.232189,0.373494,107,2.0,31,37.300,4400.0,0.0000
,195375,195374,apb,0.105310,0.168947,107,2.0,31,37.400,4400.0,0.0000
,195376,195126,apb,0.026516,0.036574,107,4.0,23,43.500,8800.0,0.0000
,195376,195432,apb,0.014664,0.019380,107,4.0,23,45.400,8800.0,0.0000
,195420,193960,apb,0.010426,0.009759,105,4.0,15,64.100,8800.0,0.0000
,195420,193963,apb,0.437953,0.456207,105,4.0,15,57.600,8800.0,0.0000
,195421,195372,apb,0.027637,0.024422,107,4.0,11,67.900,8800.0,0.0000
,195421,195422,apb,0.118096,0.114102,107,4.0,11,62.100,8800.0,0.0000
,195422,195421,apb,0.118096,0.104356,107,4.0,11,67.900,8800.0,0.0000
,195422,195431,apb,0.013687,0.013224,107,4.0,11,62.100,8800.0,0.0000
,195423,195371,apb,0.119709,0.192047,107,2.0,31,37.400,4400.0,0.0000
,195428,194119,apb,0.150024,0.144951,107,4.0,11,62.100,8800.0,0.0000
,195428,194122,apb,0.027694,0.024472,107,4.0,11,67.900,8800.0,0.0000
,195428,195370,apb,0.084499,0.135560,107,2.0,31,37.400,4400.0,0.0000
,195431,195096,apb,0.014157,0.013678,107,4.0,11,62.100,8800.0,0.0000
,195431,195422,apb,0.013687,0.012095,107,4.0,11,67.900,8800.0,0.0000
,195432,195376,apb,0.014664,0.020226,107,4.0,23,43.500,8800.0,0.0000
,195432,195433,apb,0.059074,0.148926,107,1.0,29,23.800,2200.0,0.0000
,195432,209519,apb,0.303500,0.401101,107,4.0,23,45.400,8800.0,0.0000
,195433,195125,apb,0.179283,0.288391,107,4.0,31,37.300,8800.0,0.0000
,195433,195126,apb,0.042325,0.067901,107,4.0,31,37.400,8800.0,0.0000
,195433,195463,apb,0.068739,0.146253,107,1.0,21,28.200,2200.0,0.0000
,195445,195448,apb,0.085979,0.054997,102,3.0,7,93.800,6600.0,0.0000
,195446,231173,apb,0.910964,0.558303,102,3.0,7,97.900,6600.0,0.0000
,195447,195446,apb,0.081150,0.049734,102,3.0,7,97.900,6600.0,0.0000
,195448,195047,apb,0.333687,0.213446,102,3.0,7,93.800,6600.0,0.0000
,195463,194111,apb,0.865473,1.193756,107,3.0,23,43.500,6600.0,0.0000
,195463,195576,apb,0.029703,0.039255,107,3.0,23,45.400,6600.0,0.0000
,195463,551952,apb,0.069541,0.115261,107,1.0,13,36.200,2200.0,0.0000
,195474,195121,apb,0.068795,0.110366,107,3.0,31,37.400,6600.0,0.0000
,195474,195125,apb,0.157222,0.252228,107,2.0,31,37.400,4400.0,0.0000
,195475,195121,apb,0.107795,0.270615,107,1.0,29,23.900,2200.0,0.0000
,195475,551951,apb,0.093362,0.234382,107,1.0,29,23.900,2200.0,0.0000
,195575,209608,apb,0.153888,0.159469,107,3.0,15,57.900,6600.0,0.0000
,195575,551952,apb,0.005354,0.005548,107,3.0,15,57.900,6600.0,0.0000
